numero;dia;mes;nombre del dia
1;miércoles;enero;1
2;jueves;enero;2
3;viernes;enero;3
4;sábado;enero;4
5;domingo;enero;5
6;lunes;enero;6
7;martes;enero;7
8;miércoles;enero;8
9;jueves;enero;9
10;viernes;enero;10
11;sábado;enero;11
12;domingo;enero;12
13;lunes;enero;13
14;martes;enero;14
15;miércoles;enero;15
16;jueves;enero;16
17;viernes;enero;17
18;sábado;enero;18
19;domingo;enero;19
20;lunes;enero;20
21;martes;enero;21
22;miércoles;enero;22
23;jueves;enero;23
24;viernes;enero;24
25;sábado;enero;25
26;domingo;enero;26
27;lunes;enero;27
28;martes;enero;28
29;miércoles;enero;29
30;jueves;enero;30
31;viernes;enero;31
32;sábado;ferero;1
33;domingo;febrero;2
34;lunes;ferero;3
35;martes;marzo;4
36;miércoles;ferero;5
37;jueves;abril;6
38;viernes;ferero;7
39;sábado;mayo;8
40;domingo;ferero;9
41;lunes;junio;10
42;martes;ferero;11
43;miércoles;julio;12
44;jueves;ferero;13
45;viernes;agosto;14
46;sábado;ferero;15
47;domingo;septiembre;16
48;lunes;ferero;17
49;martes;octubre;18
50;miércoles;ferero;19
51;jueves;noviembre;20
52;viernes;ferero;21
53;sábado;diciembre;22
54;domingo;ferero;23
55;lunes;enero;24
56;martes;ferero;25
57;miércoles;febrero;26
58;jueves;febrero;27
59;viernes;febrero;28
60;sábado;marzo;1
61;domingo;marzo;2
62;lunes;marzo;3
63;martes;marzo;4
64;miércoles;marzo;5
65;jueves;marzo;6
66;viernes;marzo;7
67;sábado;marzo;8
68;domingo;marzo;9
69;lunes;marzo;10
70;martes;marzo;11
71;miércoles;marzo;12
72;jueves;marzo;13
73;viernes;marzo;14
74;sábado;marzo;15
75;domingo;marzo;16
76;lunes;marzo;17
77;martes;marzo;18
78;miércoles;marzo;19
79;jueves;marzo;20
80;viernes;marzo;21
81;sábado;marzo;22
82;domingo;marzo;23
83;lunes;marzo;24
84;martes;marzo;25
85;miércoles;marzo;26
86;jueves;marzo;27
87;viernes;marzo;28
88;sábado;marzo;29
89;domingo;marzo;30
90;lunes;marzo;31
91;martes;abril;1
92;miércoles;abril;2
93;jueves;abril;3
94;viernes;abril;4
95;sábado;abril;5
96;domingo;abril;6
97;lunes;abril;7
98;martes;abril;8
