mes par	lunes	martes	miércoles	jueves	viernes	sábado	domingo	mes impar
Enero			1	2	3	4	5	Enero
Enero	6	7	8	9	10	11	12	Enero
Enero	13	14	15	16	17	18	19	Enero
Enero	20	21	22	23	24	25	26	Enero
Enero	27	28	29	30	31	1	2	Febrero
Febrero	3	4	5	6	7	8	9	Febrero
Febrero	10	11	12	13	14	15	16	Febrero
Febrero	17	18	19	20	21	22	23	Febrero
Febrero	24	25	26	27	28	1	2	Marzo
Marzo	3	4	5	6	7	8	9	Marzo
Marzo	10	11	12	13	14	15	16	Marzo
Marzo	17	18	19	20	21	22	23	Marzo
Marzo	24	25	26	27	28	29	30	Marzo
Marzo	31	1	2	3	4	5	6	Abril
Abril	7	8	9	10	11	12	13	Abril
Abril	14	15	16	17	18	19	20	Abril
Abril	21	22	23	24	25	26	27	Abril
Abril	28	29	30	1	2	3	4	Mayo
Mayo	5	6	7	8	9	10	11	Mayo
Mayo	12	13	14	15	16	17	18	Mayo
Mayo	19	20	21	22	23	24	25	Mayo
Mayo	26	27	28	29	30	31	1	Junio
Junio	2	3	4	5	6	7	8	Junio
Junio	9	10	11	12	13	14	15	Junio
Junio	16	17	18	19	20	21	22	Junio
Junio	23	24	25	26	27	28	29	Junio
Junio	30	1	2	3	4	5	6	Julio
Julio	7	8	9	10	11	12	13	Julio
Julio	14	15	16	17	18	19	20	Julio
Julio	21	22	23	24	25	26	27	Julio
Julio	28	29	30	31	1	2	3	Agosto
Agosto	4	5	6	7	8	9	10	Agosto
Agosto	11	12	13	14	15	16	17	Agosto
Agosto	18	19	20	21	22	23	24	Agosto
Agosto	25	26	27	28	29	30	31	Agosto
Septiembre	1	2	3	4	5	6	7	Septiembre
Septiembre	8	9	10	11	12	13	14	Septiembre
Septiembre	15	16	17	18	19	20	21	Septiembre
Septiembre	22	23	24	25	26	27	28	Septiembre
Septiembre	29	30	1	2	3	4	5	Octubre
Octubre	6	7	8	9	10	11	12	Octubre
Octubre	13	14	15	16	17	18	19	Octubre
Octubre	20	21	22	23	24	25	26	Octubre
Octubre	27	28	29	30	31	1	2	Noviembre
Noviembre	3	4	5	6	7	8	9	Noviembre
Noviembre	10	11	12	13	14	15	16	Noviembre
Noviembre	17	18	19	20	21	22	23	Noviembre
Noviembre	24	25	26	27	28	29	30	Noviembre
Diciembre	1	2	3	4	5	6	7	Diciembre
Diciembre	8	9	10	11	12	13	14	Diciembre
Diciembre	15	16	17	18	19	20	21	Diciembre
Diciembre	22	23	24	25	26	27	28	Diciembre
Diciembre	29	30	31					Enero
