mes par	lunes	martes	miércoles	jueves	viernes	sábado	domingo	mes impar
Enero	1	2	3	4	5	6	7	Enero
Enero	8	9	10	11	12	13	14	Enero
Enero	15	16	17	18	19	20	21	Enero
Enero	22	23	24	25	26	27	28	Enero
Enero	29	30	31	1	2	3	4	Febrero
Febrero	5	6	7	8	9	10	11	Febrero
Febrero	12	13	14	15	16	17	18	Febrero
Febrero	19	20	21	22	23	24	25	Febrero
Febrero	26	27	28	29	1	2	3	Marzo
Marzo	4	5	6	7	8	9	10	Marzo
Marzo	11	12	13	14	15	16	17	Marzo
Marzo	18	19	20	21	22	23	24	Marzo
Marzo	25	26	27	28	29	30	31	Marzo
Abril	1	2	3	4	5	6	7	Abril
Abril	8	9	10	11	12	13	14	Abril
Abril	15	16	17	18	19	20	21	Abril
Abril	22	23	24	25	26	27	28	Abril
Abril	29	30	1	2	3	4	5	Mayo
Mayo	6	7	8	9	10	11	12	Mayo
Mayo	13	14	15	16	17	18	19	Mayo
Mayo	20	21	22	23	24	25	26	Mayo
Mayo	27	28	29	30	31	1	2	Junio
Junio	3	4	5	6	7	8	9	Junio
Junio	10	11	12	13	14	15	16	Junio
Junio	17	18	19	20	21	22	23	Junio
Junio	24	25	26	27	28	29	30	Junio
Julio	1	2	3	4	5	6	7	Julio
Julio	8	9	10	11	12	13	14	Julio
Julio	15	16	17	18	19	20	21	Julio
Julio	22	23	24	25	26	27	28	Julio
Julio	29	30	31	1	2	3	4	Agosto
Agosto	5	6	7	8	9	10	11	Agosto
Agosto	12	13	14	15	16	17	18	Agosto
Agosto	19	20	21	22	23	24	25	Agosto
Agosto	26	27	28	29	30	31	1	Septiembre
Septiembre	2	3	4	5	6	7	8	Septiembre
Septiembre	9	10	11	12	13	14	15	Septiembre
Septiembre	16	17	18	19	20	21	22	Septiembre
Septiembre	23	24	25	26	27	28	29	Septiembre
Septiembre	30	1	2	3	4	5	6	Octubre
Octubre	7	8	9	10	11	12	13	Octubre
Octubre	14	15	16	17	18	19	20	Octubre
Octubre	21	22	23	24	25	26	27	Octubre
Octubre	28	29	30	31	1	2	3	Noviembre
Noviembre	4	5	6	7	8	9	10	Noviembre
Noviembre	11	12	13	14	15	16	17	Noviembre
Noviembre	18	19	20	21	22	23	24	Noviembre
Noviembre	25	26	27	28	29	30	1	Diciembre
Diciembre	2	3	4	5	6	7	8	Diciembre
Diciembre	9	10	11	12	13	14	15	Diciembre
Diciembre	16	17	18	19	20	21	22	Diciembre
Diciembre	23	24	25	26	27	28	29	Diciembre
Diciembre	30	31						Enero
